,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-02-04 12:10:05,2023-02-03 17:56:25,2638,136.0,4374.0,616,2100.0,913.0,2396.0,54120.0,2023-01-10 16:39:31,0.89.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",128218.0,128218.0,408.0,https://pypi.org/project/fastapi,11185158,11185158,44,True,1,True,
1,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-03 17:53:02,2023-02-03 17:53:01,234,20.0,396.0,123,224.0,179.0,143.0,9327.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2817.0,2817.0,54.0,https://pypi.org/project/sqlmodel,306543,306543,31,True,1,True,
2,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-02-04 07:03:29,2023-02-03 16:02:08,683,130.0,152.0,18,801.0,42.0,215.0,1382.0,2023-01-30 16:18:35,0.17.0,100.0,"Pydantic model generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data sources.",397.0,397.0,59.0,https://pypi.org/project/datamodel-code-generator,191993,191993,31,True,1,True,
3,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-02-01 16:59:26,2023-01-31 15:45:31,183,16.0,28.0,11,54.0,6.0,38.0,118.0,,,,Pydantic data models for the GeoJSON spec.,149.0,149.0,19.0,https://pypi.org/project/geojson-pydantic,40327,40327,20,True,1,True,
4,pydbantic,codemation/pydbantic,pydbantic,[],databases,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-02-03 09:56:45,2023-02-03 09:56:17,149,7.0,10.0,4,25.0,,12.0,186.0,2023-02-03 09:56:45,0.0.32,22.0,"A single model for shaping, creating, accessing, storing data within a Database.",5.0,5.0,8.0,https://pypi.org/project/pydbantic,1597,1597,18,True,3,True,
5,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2023-02-04 11:21:57,2023-01-10 20:16:58,59,30.0,6.0,1,27.0,7.0,6.0,20.0,2023-01-10 20:19:51,0.5.0,7.0,pydantic xml extension.,5.0,5.0,3.0,https://pypi.org/project/pydantic-xml,13517,13517,16,False,1,True,
6,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-01-20 13:19:04,2023-01-20 13:15:43,129,6.0,1.0,3,16.0,7.0,11.0,39.0,2023-01-20 13:19:04,0.1.3,20.0,Generator of python HTTP-clients from OpenAPI specification based on httpx and pydantic.,,,5.0,https://pypi.org/project/pythogen,569,569,13,False,1,True,
7,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2022-12-19 10:16:06,2022-12-12 06:10:33,81,9.0,14.0,2,24.0,6.0,13.0,49.0,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,7.0,https://pypi.org/project/aiohttp-pydantic,4011,4011,11,False,1,True,
8,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,3.0,1,2.0,5.0,3.0,30.0,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,523,523,11,False,1,True,
9,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2023-01-01 20:36:45,2023-01-01 20:36:40,46,4.0,2.0,1,12.0,3.0,4.0,5.0,,,,Pydantic validation for GeoJson.,,,4.0,https://pypi.org/project/pydantic-geojson,2060,2060,9,False,3,True,
