,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,new_addition,github_release_downloads
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-02-05 06:32:31,2023-02-03 17:56:25,2638,136.0,4376.0,616.0,2100.0,913.0,2396.0,54147.0,2023-01-10 16:39:31,0.89.1,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",128450.0,128450.0,408.0,https://pypi.org/project/fastapi,11008539.0,11008539.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-02-03 22:18:56,2023-02-03 22:18:54,13865,617.0,1086.0,153.0,4652.0,669.0,2580.0,11236.0,2023-02-03 00:39:49,2.7.11,100.0,The easiest way to coordinate your dataflow.,1798.0,1798.0,123.0,https://pypi.org/project/prefect,563092.0,563092.0,40,True,1,,,
2,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-03 17:53:02,2023-02-03 17:53:01,234,18.0,396.0,123.0,224.0,179.0,143.0,9331.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",2825.0,2825.0,54.0,https://pypi.org/project/sqlmodel,295027.0,295027.0,31,True,1,,,
3,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-01-30 21:26:53,2023-01-30 21:26:52,511,15.0,159.0,13.0,468.0,162.0,360.0,1953.0,2022-11-02 15:32:11,0.13.4,55.0,"A light-weight, flexible, and expressive statistical data testing library.",499.0,499.0,79.0,https://pypi.org/project/pandera,557440.0,557440.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-02-05 08:23:21,2023-02-03 16:02:08,683,130.0,152.0,18.0,801.0,42.0,215.0,1387.0,2023-01-30 16:18:35,0.17.0,100.0,"Pydantic model generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data sources.",398.0,398.0,59.0,https://pypi.org/project/datamodel-code-generator,185349.0,185349.0,31,True,1,,,
5,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-01-31 20:36:27,2023-01-30 20:43:04,376,29.0,101.0,16.0,205.0,74.0,133.0,1059.0,2023-01-30 20:18:30,1.18.0b0,90.0,Asynchronous Python ODM for MongoDB.,560.0,560.0,38.0,https://pypi.org/project/beanie,43364.0,43364.0,25,True,1,,True,
6,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-02-03 20:30:10,2023-02-03 20:30:08,2041,224.0,241.0,56.0,1197.0,71.0,477.0,1895.0,2023-02-01 13:46:56,2.7.1,86.0,"A suite of utilities for AWS Lambda Functions that makes distributed tracing, structured logging, custom metrics,..",,,90.0,https://pypi.org/project/aws-lambda-powertools-python,,,24,False,1,,,
7,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-02-05 11:37:36,2023-02-02 14:27:22,2719,875.0,69.0,7.0,427.0,67.0,140.0,955.0,2023-01-26 10:20:17,0.6.8,58.0,Open-source data observability for analytics engineers.,9.0,9.0,38.0,https://pypi.org/project/elementary,2.0,2.0,22,True,1,,,
8,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2023-02-02 10:48:18,2023-01-03 19:16:25,478,12.0,70.0,21.0,194.0,38.0,78.0,754.0,2023-01-03 20:08:22,0.9.2,18.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,,,17.0,https://pypi.org/project/odmantic,20920.0,20920.0,22,True,3,,True,
9,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2023-02-01 16:59:26,2023-01-31 15:45:31,183,16.0,28.0,11.0,54.0,6.0,38.0,118.0,,,,Pydantic data models for the GeoJSON spec.,149.0,149.0,19.0,https://pypi.org/project/geojson-pydantic,38974.0,38974.0,20,True,1,,,
