,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,github_release_downloads
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-02-16 17:23:43,2023-02-14 09:17:53,2678,140.0,4417.0,620.0,2123.0,914.0,2398.0,54556.0,2023-02-14 09:21:59,0.92.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",150214.0,150214.0,415.0,https://pypi.org/project/fastapi,12372535.0,12372535.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-02-16 17:51:39,2023-02-16 17:47:42,13980,619.0,1099.0,154.0,4747.0,685.0,2617.0,11316.0,2023-02-09 21:48:06,2.8.0,100.0,The easiest way to coordinate your dataflow.,2188.0,2188.0,127.0,https://pypi.org/project/prefect,685879.0,685879.0,41,True,1,1.0,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-02-13 21:14:26,2023-02-10 17:41:05,767,51.0,255.0,60.0,185.0,139.0,303.0,4052.0,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1112.0,1112.0,77.0,https://pypi.org/project/django-ninja,85710.0,85710.0,33,True,1,1.0,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-02-16 07:01:15,2023-02-15 22:39:00,2574,132.0,357.0,41.0,1814.0,250.0,411.0,2945.0,2023-02-13 00:11:07,0.156.4,100.0,A GraphQL library for Python that leverages type annotations.,1552.0,1552.0,177.0,https://pypi.org/project/strawberry,392.0,452.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,426.0
4,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-02-15 12:39:26,2023-02-03 17:53:01,234,8.0,398.0,124.0,225.0,178.0,144.0,9380.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5099.0,5099.0,54.0,https://pypi.org/project/sqlmodel,323309.0,323309.0,31,True,1,,,
5,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-02-16 11:01:14,2023-02-16 11:00:40,711,149.0,154.0,18.0,835.0,41.0,218.0,1408.0,2023-02-06 17:56:33,0.17.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",611.0,611.0,60.0,https://pypi.org/project/datamodel-code-generator,208960.0,208960.0,31,True,1,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-02-16 09:39:53,2023-01-30 21:26:52,511,8.0,161.0,13.0,469.0,166.0,361.0,1970.0,2022-11-02 15:32:11,0.13.4,55.0,"A light-weight, flexible, and expressive statistical data testing library.",662.0,662.0,79.0,https://pypi.org/project/pandera,569770.0,569770.0,30,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
7,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/starlite-api/pydantic-factories,https://github.com/starlite-api/pydantic-factories,MIT,2021-11-13 16:39:26,2023-02-15 19:48:39,2023-02-09 20:19:53,303,13.0,31.0,11.0,66.0,8.0,64.0,425.0,2023-02-09 20:20:39,1.7.2,62.0,Simple and powerful mock data generation using pydantic or dataclasses.,332.0,332.0,28.0,https://pypi.org/project/pydantic-factories,180986.0,180986.0,27,True,1,1.0,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-02-14 09:47:53,2023-02-09 15:23:25,377,26.0,104.0,16.0,207.0,67.0,142.0,1074.0,2023-02-09 15:25:23,1.18.0b1,91.0,Asynchronous Python ODM for MongoDB.,770.0,770.0,38.0,https://pypi.org/project/beanie,46037.0,46037.0,25,True,1,,,
9,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-02-16 16:17:38,2023-02-16 13:49:10,2075,197.0,246.0,56.0,1220.0,73.0,487.0,1913.0,2023-02-10 17:42:24,2.8.0,87.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,,,94.0,https://pypi.org/project/aws-lambda-powertools-python,,,24,False,1,,,
