,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,trending
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-04-06 12:03:17,2023-04-05 15:09:04,2750,176.0,4571.0,621.0,2212.0,16.0,3302.0,56343.0,2023-03-18 19:43:51,0.95.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",165412.0,165412.0,425.0,https://pypi.org/project/fastapi,16915771.0,16915771.0,44,True,1,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-04-06 18:05:30,2023-04-06 17:34:42,14288,584.0,1152.0,154.0,5107.0,615.0,2886.0,11667.0,2023-03-30 18:14:34,2.9.0,100.0,The easiest way to orchestrate and observe your data pipelines.,2528.0,2528.0,143.0,https://pypi.org/project/prefect,793687.0,793687.0,41,True,1,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-04-06 14:19:40,2023-04-06 14:19:40,802,55.0,270.0,62.0,200.0,150.0,321.0,4235.0,2023-02-24 14:16:23,.0.21.0,27.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1198.0,1198.0,85.0,https://pypi.org/project/django-ninja,97718.0,97718.0,32,True,1,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-04-06 17:55:34,2023-04-06 13:01:56,2654,150.0,379.0,42.0,1916.0,263.0,435.0,3066.0,2023-04-06 13:02:19,0.170.0,100.0,A GraphQL library for Python that leverages type annotations.,1691.0,1691.0,190.0,https://pypi.org/project/strawberry,484.0,543.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,419.0,
4,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-04-06 17:46:53,2023-03-31 16:57:13,751,133.0,168.0,21.0,920.0,59.0,223.0,1514.0,2023-03-31 15:23:56,0.17.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",649.0,649.0,66.0,https://pypi.org/project/datamodel-code-generator,257111.0,257111.0,32,True,1,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-04-05 23:49:59,2023-02-21 11:02:54,236,8.0,403.0,131.0,229.0,177.0,145.0,9677.0,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",5472.0,5472.0,54.0,https://pypi.org/project/sqlmodel,370283.0,370283.0,31,True,1,,,
6,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-04-03 21:13:31,2023-03-30 16:12:11,532,25.0,174.0,15.0,491.0,184.0,374.0,2183.0,2023-03-20 22:46:22,0.14.5,61.0,"A light-weight, flexible, and expressive statistical data testing library.",738.0,738.0,86.0,https://pypi.org/project/pandera,923426.0,923426.0,31,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-04-06 15:25:30,2023-04-05 16:30:31,2216,252.0,263.0,58.0,1332.0,87.0,513.0,2004.0,2023-03-29 12:36:57,2.11.0,91.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1443.0,1443.0,101.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-04-03 20:32:48,2023-03-31 19:43:43,383,13.0,109.0,15.0,215.0,43.0,186.0,1131.0,2023-02-09 15:25:23,1.18.0b1,91.0,Asynchronous Python ODM for MongoDB.,892.0,892.0,43.0,https://pypi.org/project/beanie,55986.0,55986.0,28,True,1,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-04-06 12:24:17,2023-04-02 19:51:03,3198,738.0,79.0,9.0,538.0,80.0,176.0,1114.0,2023-03-23 13:41:30,0.7.6,67.0,Open-source data observability for analytics engineers.,15.0,15.0,42.0,https://pypi.org/project/elementary,1.0,1.0,24,True,1,,,
