,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,github_release_downloads,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-06-01 14:07:29,2023-05-16 13:39:43,2833,145.0,4762.0,635.0,2302.0,18.0,3307.0,58591,2023-05-16 13:43:39,0.95.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",189087.0,189087.0,444.0,https://pypi.org/project/fastapi,16201668.0,16201668.0,44,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-06-01 18:01:59,2023-06-01 17:26:43,14612,551.0,1204.0,152.0,5496.0,481.0,3304.0,12063,2023-05-25 20:12:04,2.10.11,100.0,The easiest way to orchestrate and observe your data pipelines.,2979.0,2979.0,157.0,https://pypi.org/project/prefect,606497.0,606497.0,42,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-06-01 08:56:58,2023-05-28 07:14:22,845,55.0,273.0,62.0,214.0,153.0,338.0,4445,2023-05-28 07:16:29,0.22.1,29.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1379.0,1379.0,93.0,https://pypi.org/project/django-ninja,101733.0,101733.0,33,True,1,2.0,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-06-01 09:26:50,2023-06-01 09:26:48,2729,135.0,401.0,46.0,1984.0,280.0,455.0,3237,2023-06-01 09:27:14,0.180.1,100.0,A GraphQL library for Python that leverages type annotations.,1877.0,1877.0,204.0,https://pypi.org/project/strawberry,418.0,471.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,431.0,
4,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-06-01 16:35:51,2023-06-01 16:35:50,548,36.0,189.0,16.0,512.0,198.0,390.0,2350,2023-05-09 22:04:08,0.15.1,65.0,"A light-weight, flexible, and expressive statistical data testing library.",855.0,855.0,94.0,https://pypi.org/project/pandera,840842.0,840842.0,32,True,1,1.0,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-05-31 21:04:00,2023-02-21 11:02:54,236,,415.0,132.0,237.0,177.0,146.0,9960,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6059.0,6059.0,53.0,https://pypi.org/project/sqlmodel,399658.0,399658.0,31,True,1,,,,
6,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-06-01 14:28:38,2023-06-01 14:24:56,800,82.0,180.0,19.0,1013.0,56.0,246.0,1630,2023-05-10 16:23:16,0.19.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",729.0,729.0,69.0,https://pypi.org/project/datamodel-code-generator,265456.0,265456.0,31,True,1,,,,
7,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/awslabs/aws-lambda-powertools-python,https://github.com/awslabs/aws-lambda-powertools-python,MIT-0,2019-11-15 12:26:12,2023-06-01 18:01:37,2023-06-01 10:40:47,2424,302.0,282.0,58.0,1536.0,77.0,577.0,2129,2023-05-04 16:34:59,2.15.0,96.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1561.0,1561.0,109.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,,
8,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-06-01 01:33:20,2023-05-26 12:15:34,395,18.0,115.0,17.0,227.0,27.0,227.0,1222,2023-05-26 12:22:50,1.19.2,96.0,Asynchronous Python ODM for MongoDB.,1092.0,1092.0,47.0,https://pypi.org/project/beanie,54354.0,54354.0,29,True,1,,,,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-06-01 16:04:19,2023-05-31 20:21:56,3442,379.0,88.0,9.0,605.0,99.0,204.0,1208,2023-05-31 20:22:48,0.8.0,72.0,Open-source data observability for analytics engineers.,21.0,21.0,47.0,https://pypi.org/project/elementary,,,25,True,1,,,,
