,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,docs_url,github_release_downloads,updated_github_id,trending
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-06-29 13:15:22,2023-06-28 16:39:44,3011,263.0,4856.0,628.0,2388.0,19.0,3314.0,59678,2023-06-22 18:08:00,0.98.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",200713.0,200713.0,472.0,https://pypi.org/project/fastapi,16298373.0,16298373.0,45,True,1,,,,
1,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-06-29 17:38:00,2023-06-29 17:12:20,14756,525.0,1233.0,153.0,5679.0,493.0,3404.0,12234,2023-06-22 21:30:03,2.10.17,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3242.0,3242.0,173.0,https://pypi.org/project/prefect,763480.0,763480.0,42,True,1,,,,
2,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-06-22 07:49:33,2023-06-08 15:37:52,846,45.0,273.0,67.0,215.0,156.0,344.0,4557,2023-06-08 15:42:14,0.22.2,30.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1449.0,1449.0,93.0,https://pypi.org/project/django-ninja,119735.0,119735.0,33,True,1,,,,
3,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-06-29 13:35:00,2023-06-28 22:09:56,2814,168.0,412.0,45.0,2051.0,296.0,475.0,3284,2023-06-28 22:10:23,0.192.0,100.0,A GraphQL library for Python that leverages type annotations.,1956.0,1956.0,207.0,https://pypi.org/project/strawberry,526.0,602.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,382.0,,
4,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-06-29 13:38:18,2023-06-29 13:38:16,559,27.0,195.0,16.0,528.0,205.0,395.0,2404,2023-05-09 22:04:08,0.15.1,67.0,"A light-weight, flexible, and expressive statistical data testing library.",904.0,904.0,99.0,https://pypi.org/project/pandera,891439.0,891439.0,32,True,1,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-06-21 00:17:30,2023-02-21 11:02:54,236,,417.0,136.0,238.0,177.0,146.0,10084,2022-08-30 17:56:11,0.0.8,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",6344.0,6344.0,53.0,https://pypi.org/project/sqlmodel,415573.0,415573.0,31,True,1,,,,
6,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],model-generators,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-06-29 18:10:11,2023-06-29 00:47:45,836,85.0,186.0,20.0,1052.0,62.0,249.0,1674,2023-06-06 15:19:45,0.20.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",777.0,777.0,74.0,https://pypi.org/project/datamodel-code-generator,333641.0,333641.0,31,True,1,,,,
7,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2023-06-19 06:59:54,2023-06-09 19:13:46,401,18.0,116.0,14.0,232.0,31.0,228.0,1270,2023-05-26 12:22:50,1.19.2,96.0,Asynchronous Python ODM for MongoDB.,1210.0,1210.0,47.0,https://pypi.org/project/beanie,67779.0,67779.0,30,True,1,,,,
8,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2023-06-29 08:50:56,2023-06-29 08:50:13,2535,330.0,288.0,58.0,1739.0,74.0,629.0,2169,2023-06-23 13:27:10,2.18.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,1626.0,1626.0,113.0,https://pypi.org/project/aws-lambda-powertools-python,,,29,False,1,,,aws-powertools/powertools-lambda-python,
9,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2023-06-29 14:40:19,2023-06-28 15:32:46,3744,533.0,93.0,9.0,646.0,111.0,213.0,1254,2023-06-21 10:34:47,0.8.2,74.0,Open-source data observability for analytics engineers.,23.0,23.0,47.0,https://pypi.org/project/elementary,,,25,True,1,,,,
