,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,new_addition,docs_url,updated_github_id,trending
0,transformers,huggingface/transformers,transformers,[],others,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-07-01 11:38:13,2023-07-01 07:29:21,13336,860.0,20220.0,1033.0,12248.0,591.0,11458.0,105751,2023-06-13 19:29:33,4.30.2,141.0,13394024.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",81503.0,81503.0,2000.0,https://pypi.org/project/transformers,13394021.0,51,True,1,True,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-06-30 23:26:40,2023-06-30 18:55:17,3017,268.0,4863.0,627.0,2393.0,18.0,3315.0,59751,2023-06-30 19:01:54,0.99.0,,16181837.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",201330.0,201330.0,472.0,https://pypi.org/project/fastapi,16181837.0,45,True,1,,,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-06-28 15:10:35,2023-06-28 15:09:57,15945,72.0,4059.0,552.0,3785.0,75.0,5357.0,26520,2023-06-28 16:17:49,3.5.4,,4951791.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,63407.0,63407.0,728.0,https://pypi.org/project/spacy,4951791.0,44,True,1,True,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-07-01 09:51:02,2023-07-01 03:45:57,18054,1379.0,4431.0,450.0,22341.0,2706.0,11690.0,26383,2023-06-21 18:09:41,ray-2.5.1,84.0,2106555.0,67.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,10345.0,10345.0,876.0,https://pypi.org/project/ray,2106554.0,44,True,1,True,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-07-01 12:20:54,2023-06-30 22:23:00,14762,531.0,1233.0,154.0,5687.0,494.0,3413.0,12244,2023-06-29 18:53:00,2.10.18,,759022.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3248.0,3248.0,175.0,https://pypi.org/project/prefect,759022.0,42,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-06-30 15:16:26,2023-06-30 10:58:49,8365,117.0,2093.0,200.0,4025.0,13.0,1850.0,18688,2023-06-22 13:34:26,3.18.0,,426319.0,100.0,Build multimodal AI services via cloud native technologies.,725.0,725.0,169.0,https://pypi.org/project/jina,426319.0,39,True,1,True,,,
6,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-06-30 13:06:22,2023-06-06 08:57:44,2683,10.0,1098.0,209.0,1023.0,56.0,572.0,6256,2023-06-06 08:59:39,1.2.0,,8263.0,59.0,An open source library for deep learning end-to-end dialog systems and chatbots.,349.0,349.0,74.0,https://pypi.org/project/deeppavlov,8263.0,33,True,3,True,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-06-30 23:08:26,2023-06-08 15:37:52,846,45.0,274.0,67.0,215.0,156.0,344.0,4564,2023-06-08 15:42:14,0.22.2,,118872.0,30.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1450.0,1450.0,93.0,https://pypi.org/project/django-ninja,118872.0,33,True,1,,,,
8,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-06-30 19:55:25,2023-06-29 21:35:52,2815,168.0,412.0,45.0,2057.0,297.0,475.0,3287,2023-06-28 22:10:23,0.192.0,382.0,597.0,100.0,A GraphQL library for Python that leverages type annotations.,1962.0,1962.0,207.0,https://pypi.org/project/strawberry,534.0,32,True,1,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2023-06-30 23:17:33,2023-06-30 16:12:56,560,28.0,196.0,16.0,529.0,205.0,396.0,2408,2023-05-09 22:04:08,0.15.1,,889248.0,67.0,"A light-weight, flexible, and expressive statistical data testing library.",906.0,906.0,100.0,https://pypi.org/project/pandera,889248.0,32,True,1,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,,
