,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-09-21 17:14:03,2023-09-21 16:36:05,14028,760.0,21228.0,1057.0,13187.0,613.0,12202.0,112164,2023-09-15 20:24:23,4.33.2,142.0,18257754.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",100661.0,100661.0,2132.0,https://pypi.org/project/transformers,18257751.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-09-21 17:48:39,2023-09-15 08:39:26,3216,233.0,5147.0,642.0,2632.0,25.0,3331.0,62771,2023-09-02 17:18:43,0.103.1,,21840661.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",236261.0,236261.0,498.0,https://pypi.org/project/fastapi,21840661.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-09-21 17:56:37,2023-09-21 16:59:59,19185,1260.0,4625.0,459.0,24107.0,3054.0,12340.0,27692,2023-09-17 18:13:10,ray-2.7.0,89.0,3578412.0,72.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11421.0,11421.0,916.0,https://pypi.org/project/ray,3578411.0,45,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-09-21 09:30:03,2023-09-13 11:21:58,15993,54.0,4106.0,555.0,3871.0,73.0,5399.0,27143,2023-08-08 14:45:58,3.6.1,,6330638.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,70031.0,70031.0,737.0,https://pypi.org/project/spacy,6330638.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-09-21 18:05:59,2023-09-21 17:54:56,15121,392.0,1294.0,155.0,6099.0,531.0,3608.0,12851,2023-09-14 20:02:50,2.13.1,,641343.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3757.0,3757.0,196.0,https://pypi.org/project/prefect,641343.0,42,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-09-21 15:14:21,2023-09-21 12:57:49,8445,86.0,2114.0,205.0,4099.0,10.0,1887.0,19096,2023-09-07 08:48:14,3.20.3,,74037.0,100.0,Build multimodal AI applications with cloud-native stack.,1066.0,1066.0,172.0,https://pypi.org/project/jina,74037.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-09-19 10:53:19,2023-08-01 09:19:41,246,10.0,453.0,145.0,253.0,178.0,147.0,10742,2022-08-30 17:56:11,0.0.8,,539350.0,7.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7349.0,7349.0,53.0,https://pypi.org/project/sqlmodel,539350.0,33,True,1,,,
7,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-09-21 13:45:48,2023-09-21 13:45:35,928,82.0,300.0,71.0,229.0,172.0,384.0,4972,2023-06-08 15:42:14,0.22.2,,166665.0,34.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1635.0,1635.0,100.0,https://pypi.org/project/django-ninja,166665.0,33,True,1,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-09-21 17:31:37,2023-09-21 17:30:42,912,85.0,219.0,20.0,1166.0,94.0,271.0,1834,2023-09-06 16:35:41,0.21.5,,552089.0,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",881.0,881.0,92.0,https://pypi.org/project/datamodel-code-generator,552089.0,33,True,1,,,
9,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-09-21 16:41:51,2023-09-21 16:41:50,2953,155.0,439.0,43.0,2207.0,323.0,496.0,3440,2023-09-21 03:51:57,0.209.1,369.0,495.0,100.0,A GraphQL library for Python that leverages type annotations.,2221.0,2221.0,222.0,https://pypi.org/project/strawberry,422.0,32,True,1,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,,
