,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank,show,projectrank_placing,trending,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-10-26 17:58:18,2023-10-26 16:13:19,14307,744.0,21690.0,1060.0,13613.0,677.0,12458.0,114005,2023-10-18 21:15:29,4.34.1,143.0,18143493.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",108770.0,108770.0,2219.0,https://pypi.org/project/transformers,18143490.0,50,True,1,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-10-26 16:18:13,2023-10-25 08:25:52,3289,222.0,5234.0,639.0,2749.0,29.0,3336.0,63910,2023-10-18 12:52:22,0.104.0,,21230420.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",251822.0,251822.0,511.0,https://pypi.org/project/fastapi,21230420.0,46,True,1,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-10-26 18:01:48,2023-10-26 17:12:09,19622,1248.0,4712.0,464.0,24734.0,3086.0,12607.0,28341,2023-10-09 17:47:23,ray-2.7.1,93.0,2455744.0,73.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,11943.0,11943.0,932.0,https://pypi.org/project/ray,2455743.0,44,True,1,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-10-25 13:11:24,2023-10-23 09:59:18,16059,80.0,4125.0,562.0,3903.0,73.0,5419.0,27435,2023-10-16 16:11:22,3.7.2,,7136714.0,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,72352.0,72352.0,742.0,https://pypi.org/project/spacy,7136714.0,44,True,1,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-10-26 18:00:10,2023-10-26 18:00:08,15255,380.0,1328.0,156.0,6260.0,552.0,3663.0,13099,2023-10-25 20:41:44,2.14.1,,643102.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",3898.0,3898.0,204.0,https://pypi.org/project/prefect,643102.0,43,True,1,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-10-26 17:56:26,2023-10-25 23:03:42,8484,86.0,2130.0,205.0,4131.0,16.0,1896.0,19250,2023-10-25 12:05:35,3.22.3,,89208.0,100.0,Build multimodal AI applications with cloud-native stack.,1226.0,1226.0,177.0,https://pypi.org/project/jina,89208.0,40,True,1,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-10-26 14:37:46,2023-10-26 14:34:49,309,73.0,465.0,146.0,272.0,178.0,148.0,10962,2023-10-26 14:37:46,0.0.10,,543522.0,9.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",7847.0,7847.0,69.0,https://pypi.org/project/sqlmodel,543522.0,35,True,1,1.0,,
7,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2023-10-26 12:49:43,2023-10-17 11:40:34,2699,10.0,1113.0,211.0,1035.0,18.0,613.0,6379,2023-10-17 11:41:15,1.4.0,,8122.0,61.0,An open source library for deep learning end-to-end dialog systems and chatbots.,361.0,361.0,76.0,https://pypi.org/project/deeppavlov,8122.0,33,True,3,1.0,,
8,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-10-23 22:39:31,2023-10-18 00:15:46,961,74.0,304.0,71.0,238.0,176.0,396.0,5111,2023-06-08 15:42:14,0.22.2,,182820.0,35.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1722.0,1722.0,104.0,https://pypi.org/project/django-ninja,182820.0,33,True,1,,,
9,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-10-26 15:21:31,2023-10-26 15:19:53,2278,240.0,263.0,32.0,1650.0,70.0,660.0,3219,2023-10-13 00:57:35,2.2.1,,14432.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",225.0,225.0,142.0,https://pypi.org/project/litestar,14432.0,33,True,3,,,
