,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,updated_github_id,trending
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2023-12-21 18:04:43,2023-12-21 15:14:46,14799,762.0,22320.0,1070.0,14232.0,703.0,12901.0,117475,2023-12-18 18:44:02,4.36.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",123884.0,123884.0,2323.0,https://pypi.org/project/transformers,19259682.0,19259682.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2023-12-20 17:06:02,2023-12-20 17:06:01,3336,114.0,5395.0,651.0,2891.0,32.0,3343.0,66101,2023-12-12 00:38:25,0.105.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",282563.0,282563.0,515.0,https://pypi.org/project/fastapi,27698175.0,27698175.0,46,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2023-12-21 18:01:15,2023-12-21 18:01:15,20233,1030.0,4826.0,465.0,25611.0,2987.0,13180.0,29138,2023-12-21 00:32:08,ray-2.9.0,76.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,12883.0,12883.0,952.0,https://pypi.org/project/ray,2721236.0,2721238.0,44,True,1,158.0,,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2023-12-21 14:08:27,2023-12-21 10:00:06,16083,65.0,4146.0,556.0,3929.0,75.0,5444.0,27838,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,76654.0,76654.0,746.0,https://pypi.org/project/spacy,7004606.0,7004606.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2023-12-21 18:04:56,2023-12-21 16:21:14,15532,402.0,1356.0,157.0,6568.0,610.0,3760.0,13609,2023-12-20 22:59:20,2.14.12,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4128.0,4128.0,210.0,https://pypi.org/project/prefect,658721.0,658721.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2023-12-15 20:56:55,2023-12-14 23:03:21,8509,63.0,2146.0,206.0,4151.0,12.0,1910.0,19468,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1397.0,1397.0,176.0,https://pypi.org/project/jina,85279.0,85279.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2023-12-18 19:33:00,2023-12-10 20:20:18,367,121.0,490.0,153.0,311.0,173.0,153.0,11794,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",8755.0,8755.0,71.0,https://pypi.org/project/sqlmodel,665072.0,665072.0,37,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2023-12-21 17:53:23,2023-12-20 09:16:48,2483,309.0,285.0,32.0,1915.0,97.0,743.0,3658,2023-12-13 19:28:18,2.4.4,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",308.0,308.0,163.0,https://pypi.org/project/litestar,21680.0,21680.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2023-12-21 18:05:13,2023-12-21 17:55:58,1029,117.0,232.0,21.0,1312.0,103.0,330.0,2018,2023-11-26 16:56:40,0.25.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1009.0,1009.0,104.0,https://pypi.org/project/datamodel-code-generator,628568.0,628568.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-12-21 08:54:33,2023-12-19 09:01:29,1060,116.0,335.0,73.0,275.0,205.0,449.0,5521,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1877.0,1877.0,123.0,https://pypi.org/project/django-ninja,226932.0,226932.0,33,True,1,,,,
