,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,docs_url,updated_github_id
0,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-01-18 13:11:19,2024-01-17 17:15:47,3569.0,290.0,5486.0,657.0,3014.0,34.0,3344.0,67109.0,2024-01-11 15:35:50,0.109.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",294404.0,294404.0,562.0,https://pypi.org/project/fastapi,26369913.0,26369913.0,47,True,1,,,,
1,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-01-18 16:06:50,2024-01-02 09:03:06,16084.0,26.0,4153.0,556.0,3932.0,80.0,5451.0,28005.0,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,78432.0,78432.0,746.0,https://pypi.org/project/spacy,5387968.0,5387968.0,44,True,1,,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-01-18 17:59:26,2024-01-18 05:23:13,20405.0,841.0,4883.0,463.0,25857.0,3043.0,13299.0,29502.0,2023-12-21 00:32:08,ray-2.9.0,76.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13259.0,13259.0,965.0,https://pypi.org/project/ray,2610093.0,2610095.0,43,True,1,187.0,-1.0,,
3,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-01-18 17:30:24,2024-01-18 17:04:14,15630.0,397.0,1378.0,159.0,6684.0,615.0,3803.0,13809.0,2024-01-11 23:20:58,2.14.15,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4254.0,4254.0,223.0,https://pypi.org/project/prefect,549727.0,549727.0,43,True,1,,,,
4,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-01-17 05:57:59,2024-01-10 17:54:15,8511.0,32.0,2146.0,205.0,4156.0,12.0,1911.0,19573.0,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1485.0,1485.0,176.0,https://pypi.org/project/jina,124632.0,124632.0,39,True,1,,-1.0,,
5,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-01-18 03:14:25,2024-01-09 06:52:30,369.0,123.0,503.0,150.0,320.0,173.0,153.0,12028.0,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9220.0,9220.0,71.0,https://pypi.org/project/sqlmodel,508357.0,508357.0,37,True,1,,,,
6,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-01-18 17:25:22,2024-01-18 17:25:21,2532.0,276.0,294.0,32.0,1965.0,105.0,754.0,3823.0,2024-01-06 11:44:46,2.5.0,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",338.0,338.0,170.0,https://pypi.org/project/litestar,21300.0,21300.0,34,True,3,,,,
7,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-01-16 01:09:30,2024-01-09 09:30:34,1036.0,104.0,234.0,22.0,1327.0,110.0,334.0,2072.0,2023-12-21 18:11:18,0.25.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1043.0,1043.0,105.0,https://pypi.org/project/datamodel-code-generator,509981.0,509981.0,34,True,1,,,,
8,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-01-18 09:27:32,2024-01-18 09:27:32,1077.0,113.0,341.0,75.0,286.0,220.0,452.0,5710.0,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1965.0,1965.0,127.0,https://pypi.org/project/django-ninja,183427.0,183427.0,33,True,1,,,,
9,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-01-18 17:35:44,2024-01-15 19:55:50,6207.0,236.0,363.0,40.0,2060.0,29.0,213.0,3439.0,2024-01-16 08:01:31,0.54.1,96.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",339.0,339.0,86.0,https://pypi.org/project/zenml,13585.0,13585.0,33,True,3,1.0,,,
10,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-01-17 09:00:48,2023-12-27 14:04:05,2705.0,6.0,1114.0,209.0,1045.0,20.0,614.0,6446.0,2023-12-27 14:49:16,1.5.0,62.0,An open source library for deep learning end-to-end dialog systems and chatbots.,373.0,373.0,76.0,https://pypi.org/project/deeppavlov,8445.0,8445.0,32,True,3,,,,
11,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-01-17 19:14:46,2024-01-16 10:10:22,3032.0,63.0,472.0,44.0,2362.0,365.0,520.0,3621.0,2024-01-04 15:26:01,0.217.1,100.0,A GraphQL library for Python that leverages type annotations.,2633.0,2633.0,237.0,https://pypi.org/project/strawberry,385.0,450.0,32,True,1,459.0,,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
12,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-01-11 21:28:52,2023-12-15 22:15:59,625.0,23.0,237.0,20.0,611.0,288.0,421.0,2786.0,2023-12-08 21:11:15,0.18.0,78.0,"A light-weight, flexible, and expressive statistical data testing library.",1280.0,1280.0,111.0,https://pypi.org/project/pandera,1111917.0,1111917.0,32,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
13,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-01-16 20:07:53,2024-01-10 23:09:15,460.0,28.0,175.0,17.0,306.0,48.0,296.0,1629.0,2023-12-24 23:33:10,1.24.0,100.0,Asynchronous Python ODM for MongoDB.,1865.0,1865.0,69.0,https://pypi.org/project/beanie,133379.0,133379.0,31,True,1,,,,
14,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-01-17 11:56:37,2024-01-16 02:49:26,1309.0,14.0,76.0,17.0,750.0,70.0,176.0,1511.0,2023-06-18 17:05:55,0.12.2,77.0,python async orm with fastapi in mind and pydantic validation.,954.0,954.0,35.0,https://pypi.org/project/ormar,71184.0,71184.0,30,True,2,,1.0,,
15,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2023-12-30 05:14:08,2023-12-23 12:37:26,1733.0,14.0,81.0,15.0,427.0,92.0,243.0,1203.0,2023-12-23 12:41:29,1.2.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",320.0,320.0,42.0,https://pypi.org/project/piccolo,11584.0,11584.0,29,True,3,,,,
16,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167.0,14.0,192.0,91.0,2666.0,192.0,736.0,2791.0,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,712.0,1161.0,28,True,1,17519.0,,,
17,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-01-18 11:30:57,2024-01-18 08:50:43,3198.0,266.0,326.0,54.0,2595.0,76.0,787.0,2490.0,2024-01-06 17:37:24,2.31.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2022.0,2022.0,140.0,https://pypi.org/project/aws-lambda-powertools-python,,1.0,28,False,1,39.0,,,aws-powertools/powertools-lambda-python
18,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-01-18 10:39:00,2024-01-17 15:53:28,1607.0,96.0,220.0,31.0,1006.0,116.0,129.0,2312.0,2023-12-27 18:01:09,0.10.27,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",221.0,221.0,70.0,https://pypi.org/project/robusta,34.0,34.0,28,True,1,,,,
19,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-01-17 04:40:27,2023-12-13 01:11:40,534.0,56.0,82.0,21.0,240.0,63.0,83.0,921.0,2023-12-13 12:49:48,1.0.0,19.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3171.0,3171.0,16.0,https://pypi.org/project/odmantic,20990.0,20990.0,28,True,3,,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-01-18 13:26:34,2024-01-17 13:53:48,4587.0,224.0,132.0,10.0,936.0,171.0,270.0,1617.0,2023-12-07 14:54:36,0.13.2,85.0,Open-source data observability for analytics engineers.,44.0,44.0,63.0,https://pypi.org/project/elementary,,,26,True,1,,,,
21,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2024-01-16 18:12:09,2024-01-16 18:10:37,293.0,10.0,34.0,14.0,79.0,2.0,60.0,180.0,,,,Pydantic data models for the GeoJSON spec.,314.0,314.0,23.0,https://pypi.org/project/geojson-pydantic,98814.0,98814.0,24,True,1,,2.0,,
22,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-01-16 02:09:05,2021-05-06 12:10:38,127.0,,154.0,50.0,57.0,,30.0,2978.0,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",47.0,47.0,4.0,https://pypi.org/project/opyrator,422.0,422.0,22,True,3,,,,
23,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2024-01-11 06:49:14,2024-01-08 16:14:23,162.0,7.0,51.0,7.0,44.0,17.0,24.0,314.0,,,,flask extension for integration with the awesome pydantic package.,517.0,517.0,13.0,https://pypi.org/project/flask-pydantic,121404.0,121404.0,22,True,2,,,,
24,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-01-13 08:25:18,2024-01-13 08:24:27,257.0,36.0,13.0,4.0,102.0,7.0,55.0,103.0,2024-01-13 08:26:59,2.8.0,31.0,python xml for humans.,59.0,59.0,9.0,https://pypi.org/project/pydantic-xml,38699.0,38699.0,22,True,1,,,,
25,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-01-18 06:34:43,2023-09-06 12:16:36,550.0,,98.0,21.0,374.0,125.0,84.0,932.0,2023-07-18 14:52:05,0.2.1,17.0,"Object mapping, and more, for Redis and Python.",803.0,803.0,24.0,https://pypi.org/project/redis-om-python,,,21,True,1,,,,
26,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2023-02-15 19:53:09,2023-02-13 12:15:42,120.0,,32.0,7.0,36.0,12.0,27.0,413.0,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,66.0,66.0,4.0,https://pypi.org/project/djantic,16528.0,16528.0,20,True,2,,,,
27,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2023-12-26 10:13:41,2023-12-26 10:13:15,410.0,91.0,5.0,4.0,52.0,2.0,23.0,53.0,2023-12-12 21:04:50,0.2.36,85.0,Awesome python HTTP-clients from OpenAPI.,,,13.0,https://pypi.org/project/pythogen,1369.0,1369.0,19,True,1,,,,
28,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165.0,,13.0,5.0,42.0,6.0,18.0,216.0,2023-10-03 08:00:16,0.0.47,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",13.0,13.0,9.0,https://pypi.org/project/pydbantic,1059.0,1059.0,17,True,3,,,,
29,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2024-01-15 20:36:53,2024-01-13 23:30:42,235.0,3.0,40.0,8.0,57.0,9.0,31.0,209.0,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,20.0,https://pypi.org/project/graphene-pydantic,9668.0,9668.0,17,True,3,,,,
30,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2024-01-15 12:35:56,2024-01-15 12:35:55,142.0,38.0,7.0,3.0,96.0,,2.0,68.0,2024-01-02 14:43:53,2.0.0,9.0,Pydantic model support for Django & Django-Rest-Framework.,10.0,10.0,6.0,https://pypi.org/project/pyngo,5347.0,5347.0,17,True,3,,,,
31,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309.0,,,2.0,,,,12.0,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,460.0,460.0,28.0,https://pypi.org/project/pydantic-factories,97701.0,97701.0,17,True,1,,,,litestar-org/pydantic-factories
