,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,docs_url,trending,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-02-15 17:56:09,2024-02-15 17:26:33,15125,595.0,22894.0,1079.0,14681.0,742.0,13264.0,120158,2024-01-29 16:11:49,4.37.2,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",138079.0,138079.0,2409.0,https://pypi.org/project/transformers,21805729.0,21805729.0,50,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-02-15 10:35:00,2024-02-14 15:06:07,3784,470.0,5572.0,658.0,3082.0,39.0,3348.0,68216,2024-02-04 21:25:05,0.109.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",307489.0,307489.0,591.0,https://pypi.org/project/fastapi,43646402.0,43646402.0,47,True,1,,,,
2,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-02-14 13:47:24,2024-02-14 13:46:28,16116,41.0,4178.0,556.0,3963.0,80.0,5471.0,28251,2023-10-16 16:11:22,3.7.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,80301.0,80301.0,748.0,https://pypi.org/project/spacy,6238454.0,6238454.0,44,True,1,,,,
3,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-02-15 17:36:18,2024-02-15 03:40:45,20660,791.0,4969.0,467.0,26261.0,3143.0,13504.0,29909,2024-02-06 01:23:15,ray-2.9.2,78.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,13703.0,13703.0,970.0,https://pypi.org/project/ray,3075001.0,3075003.0,43,True,1,208.0,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-02-15 17:45:34,2024-02-15 16:20:03,15826,462.0,1396.0,159.0,6932.0,634.0,3853.0,14046,2024-02-08 22:36:57,2.14.21,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4443.0,4443.0,226.0,https://pypi.org/project/prefect,723150.0,723150.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-02-01 06:53:56,2024-01-10 17:54:15,8511,19.0,2148.0,207.0,4156.0,12.0,1912.0,19675,2023-12-14 15:31:33,3.23.2,100.0,Build multimodal AI applications with cloud-native stack.,1565.0,1565.0,176.0,https://pypi.org/project/jina,148006.0,148006.0,39,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-02-14 15:11:55,2024-01-09 06:52:30,369,38.0,507.0,151.0,324.0,173.0,153.0,12271,2023-12-04 14:53:29,0.0.14,13.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",9716.0,9716.0,71.0,https://pypi.org/project/sqlmodel,690958.0,690958.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-02-15 17:08:48,2024-02-15 17:07:01,2608,222.0,300.0,35.0,2037.0,113.0,785.0,3947,2024-02-14 14:36:19,2.6.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",378.0,378.0,176.0,https://pypi.org/project/litestar,31609.0,31609.0,34,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-02-14 01:35:59,2024-02-13 18:06:56,1059,78.0,242.0,23.0,1347.0,126.0,341.0,2130,2024-02-13 18:09:23,0.25.4,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1080.0,1080.0,111.0,https://pypi.org/project/datamodel-code-generator,728322.0,728322.0,34,True,1,,,,
9,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-02-09 13:10:19,2024-02-09 10:23:44,1081,82.0,349.0,76.0,293.0,238.0,454.0,5871,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",2051.0,2051.0,128.0,https://pypi.org/project/django-ninja,264911.0,264911.0,33,True,1,,,,
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-02-15 16:36:44,2024-02-07 18:24:02,6274,238.0,374.0,40.0,2159.0,33.0,229.0,3515,2024-02-06 17:18:14,0.55.2,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",373.0,373.0,89.0,https://pypi.org/project/zenml,31039.0,31039.0,33,True,3,1.0,,,
