,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,docs_url,updated_github_id
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-04-25 17:53:25,2024-04-25 16:23:39,15723,733.0,23805.0,1092.0,15507.0,828.0,13787.0,125007,2024-04-23 22:01:20,4.40.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",161558.0,161558.0,2542.0,https://pypi.org/project/transformers,25871978.0,25871978.0,51,True,1,1.0,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/tiangolo/fastapi,https://github.com/tiangolo/fastapi,MIT,2018-12-08 08:21:47,2024-04-25 17:10:20,2024-04-25 17:10:18,4210,547.0,5887.0,663.0,3213.0,39.0,3359.0,70923,2024-04-19 00:33:14,0.110.2,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",347736.0,347736.0,624.0,https://pypi.org/project/fastapi,32134251.0,32134251.0,48,True,1,1.0,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-04-25 18:04:42,2024-04-25 18:00:38,21419,922.0,5147.0,472.0,27304.0,3191.0,14181.0,31087,2024-04-17 23:31:04,ray-2.11.0,81.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,15012.0,15012.0,1002.0,https://pypi.org/project/ray,4114443.0,4114445.0,45,True,1,,211.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-04-23 07:21:23,2024-04-16 10:00:22,16124,17.0,4214.0,555.0,3990.0,85.0,5493.0,28737,2024-02-15 19:16:59,3.7.4,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,86254.0,86254.0,750.0,https://pypi.org/project/spacy,8633723.0,8633723.0,44,True,1,,,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-04-25 17:34:09,2024-04-25 15:59:20,16417,749.0,1442.0,160.0,7607.0,611.0,4093.0,14623,2024-04-18 20:53:31,2.18.0,100.0,"Prefect is a workflow orchestration tool empowering developers to build, observe, and react to data pipelines.",4756.0,4756.0,241.0,https://pypi.org/project/prefect,1076785.0,1076785.0,43,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-04-19 12:21:16,2024-04-10 23:04:20,8539,28.0,2164.0,207.0,4172.0,12.0,1923.0,20029,2024-04-10 14:42:19,3.25.1,100.0,Build multimodal AI applications with cloud-native stack.,1713.0,1713.0,176.0,https://pypi.org/project/jina,30637.0,30637.0,38,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/tiangolo/sqlmodel,https://github.com/tiangolo/sqlmodel,MIT,2021-08-24 14:26:53,2024-04-24 00:22:02,2024-04-08 23:08:14,389,20.0,538.0,152.0,366.0,174.0,154.0,12956,2024-02-17 13:54:28,0.0.16,15.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",11453.0,11453.0,72.0,https://pypi.org/project/sqlmodel,1155858.0,1155858.0,36,True,1,,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-04-25 09:15:50,2024-04-23 06:57:13,2757,206.0,318.0,38.0,2240.0,129.0,853.0,4440,2024-04-09 08:14:38,2.8.2,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",503.0,503.0,188.0,https://pypi.org/project/litestar,1311058.0,1311058.0,36,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-04-25 17:05:34,2024-04-23 17:53:31,1094,52.0,259.0,25.0,1395.0,148.0,347.0,2299,2024-04-25 17:05:34,0.25.6,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1171.0,1171.0,118.0,https://pypi.org/project/datamodel-code-generator,908639.0,908639.0,34,True,1,1.0,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-04-25 05:09:09,2024-04-25 01:24:24,699,72.0,270.0,20.0,684.0,309.0,451.0,3003,2024-03-11 18:57:17,0.18.3,85.0,"A light-weight, flexible, and expressive statistical data testing library.",1510.0,1510.0,125.0,https://pypi.org/project/pandera,2753350.0,2753350.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
10,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-04-21 11:02:41,2024-03-13 09:36:57,2708,3.0,1119.0,209.0,1048.0,21.0,615.0,6541,2024-03-13 10:47:20,1.6.0,63.0,An open source library for deep learning end-to-end dialog systems and chatbots.,387.0,387.0,77.0,https://pypi.org/project/deeppavlov,9311.0,9311.0,32,True,3,,,,
11,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-04-25 16:37:12,2024-04-24 11:28:23,6442,189.0,393.0,40.0,2341.0,38.0,241.0,3661,2024-04-24 13:21:19,0.56.4,100.0,"ZenML : Build portable, production-ready MLOps pipelines. https://zenml.io.",492.0,492.0,91.0,https://pypi.org/project/zenml,12893.0,12893.0,32,True,3,-1.0,1.0,,
12,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/roman-right/beanie,https://github.com/roman-right/beanie,Apache-2.0,2021-02-23 20:11:23,2024-04-25 10:53:06,2024-04-16 23:52:56,471,4.0,189.0,15.0,331.0,70.0,313.0,1797,2024-01-25 05:53:16,1.25.0,100.0,Asynchronous Python ODM for MongoDB.,2242.0,2242.0,75.0,https://pypi.org/project/beanie,187401.0,187401.0,30,True,1,-1.0,,,
13,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-04-25 02:12:40,2024-03-23 23:41:32,1324,13.0,77.0,15.0,789.0,65.0,184.0,1576,2023-06-18 17:05:55,0.12.2,78.0,python async orm with fastapi in mind and pydantic validation.,994.0,994.0,35.0,https://pypi.org/project/ormar,76798.0,76798.0,30,True,2,,,,
14,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-04-25 13:42:02,2024-04-25 13:42:01,3594,375.0,353.0,52.0,3049.0,88.0,878.0,2606,2024-04-18 11:53:07,2.37.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2236.0,2236.0,151.0,https://pypi.org/project/aws-lambda-powertools-python,,1.0,29,False,1,,51.0,,aws-powertools/powertools-lambda-python
15,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-04-25 15:18:15,2024-04-25 15:18:14,1719,108.0,234.0,31.0,1126.0,108.0,157.0,2417,2024-04-11 17:06:23,0.11.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",225.0,225.0,77.0,https://pypi.org/project/robusta,40.0,40.0,29,True,1,,,,
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-04-18 09:51:40,2024-04-06 09:33:31,1765,24.0,84.0,15.0,459.0,103.0,256.0,1269,2024-03-22 16:59:04,1.5.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",348.0,348.0,43.0,https://pypi.org/project/piccolo,17275.0,17275.0,29,True,3,,,,
17,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-04-25 17:16:35,2024-04-24 11:43:12,1090,13.0,366.0,72.0,310.0,259.0,467.0,6212,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,131.0,https://pypi.org/project/django-ninja,292268.0,292268.0,27,True,1,-5.0,,,
18,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-04-21 18:18:03,2024-04-21 15:31:58,3101,60.0,490.0,41.0,2425.0,393.0,547.0,3760,2024-04-21 15:32:17,0.227.2,100.0,A GraphQL library for Python that leverages type annotations.,,,246.0,https://pypi.org/project/strawberry,504.0,548.0,27,True,1,,449.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
19,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-04-25 04:56:47,2024-03-23 16:03:46,554,20.0,88.0,19.0,282.0,66.0,87.0,974,2024-03-18 04:24:30,1.0.1,20.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3243.0,3243.0,19.0,https://pypi.org/project/odmantic,27075.0,27075.0,26,True,3,,,,
20,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,,192.0,91.0,2666.0,192.0,736.0,2809,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,12.0,12.0,33.0,https://pypi.org/project/onefuzz,891.0,1312.0,25,True,1,1.0,17722.0,,
21,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-04-25 17:58:09,2024-04-25 16:49:51,4834,163.0,144.0,10.0,1016.0,203.0,279.0,1739,2024-02-29 10:20:40,0.14.1,87.0,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes...,59.0,59.0,69.0,https://pypi.org/project/elementary,,,25,True,1,-1.0,,,
22,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-04-24 18:17:52,2024-03-26 19:14:49,553,3.0,103.0,23.0,379.0,127.0,96.0,1010,2024-03-26 18:34:10,0.2.2,18.0,"Object mapping, and more, for Redis and Python.",880.0,880.0,26.0,https://pypi.org/project/redis-om-python,,,23,True,1,,,,
23,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-04-18 19:27:03,2024-04-18 19:26:24,278,16.0,14.0,4.0,112.0,11.0,65.0,131,2024-04-18 19:31:02,2.9.2,35.0,python xml for humans.,88.0,88.0,9.0,https://pypi.org/project/pydantic-xml,70453.0,70453.0,23,True,1,,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-04-25 06:01:33,2021-05-06 12:10:38,127,,156.0,48.0,64.0,1.0,30.0,3013,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",48.0,48.0,4.0,https://pypi.org/project/opyrator,389.0,389.0,22,True,3,,,,
