,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,docs_url
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-10-03 17:58:16,2024-10-03 16:08:24,17010,730.0,25490.0,1116.0,17636.0,1020.0,14820.0,132900,2024-09-26 18:07:17,4.45.1,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",222291.0,222291.0,2856.0,https://pypi.org/project/transformers,36532493.0,36532493.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-10-01 11:59:58,2024-09-26 17:17:48,4746,392.0,6359.0,677.0,3599.0,44.0,3391.0,76215,2024-09-17 19:17:23,0.115.0,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",454620.0,454620.0,687.0,https://pypi.org/project/fastapi,78144839.0,78144839.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-10-03 17:43:54,2024-10-03 17:43:52,22723,668.0,5522.0,475.0,29105.0,3532.0,14953.0,33286,2024-09-24 23:37:52,ray-2.37.0,96.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,18084.0,18084.0,1076.0,https://pypi.org/project/ray,5806256.0,5806258.0,45,True,1,,237.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-10-01 23:10:18,2024-10-01 23:01:40,16203,69.0,4287.0,562.0,4019.0,126.0,5517.0,29765,2024-10-01 18:19:33,release-v3.8.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,100442.0,100442.0,758.0,https://pypi.org/project/spacy,12406466.0,12406468.0,44,True,1,,170.0,1.0,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-10-03 16:08:48,2024-10-03 16:08:46,17757,553.0,1549.0,163.0,9425.0,803.0,4730.0,15971,2024-10-01 17:57:11,3.0.4,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5701.0,5701.0,278.0,https://pypi.org/project/prefect,4247313.0,4247313.0,44,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-10-01 23:03:49,2024-10-01 23:03:47,8605,60.0,2198.0,210.0,4206.0,6.0,1936.0,21001,2024-10-01 09:31:10,3.27.17,100.0,Build multimodal AI applications with cloud-native stack.,1768.0,1768.0,177.0,https://pypi.org/project/jina,93664.0,93664.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-09-30 17:54:48,2024-09-21 18:45:35,552,115.0,589.0,147.0,488.0,175.0,159.0,14189,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",15796.0,15796.0,80.0,https://pypi.org/project/sqlmodel,2173017.0,2173017.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-10-03 17:10:14,2024-10-03 17:08:31,2913,77.0,370.0,40.0,2420.0,161.0,951.0,5405,2024-09-21 14:40:07,2.12.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",957.0,957.0,213.0,https://pypi.org/project/litestar,350784.0,350784.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-09-30 17:50:57,2024-09-27 08:59:42,1160,27.0,295.0,24.0,1491.0,197.0,362.0,2656,2024-09-27 09:00:28,0.26.1,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1416.0,1416.0,133.0,https://pypi.org/project/datamodel-code-generator,2944495.0,2944495.0,34,True,1,,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-09-30 23:17:28,2024-09-30 20:04:54,776,32.0,305.0,20.0,788.0,354.0,516.0,3295,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1908.0,1908.0,147.0,https://pypi.org/project/pandera,5977057.0,5977057.0,33,True,1,,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html
