,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,docs_url,trending
0,transformers,huggingface/transformers,transformers,[],transformer,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00,2024-10-24 17:57:48,2024-10-24 17:17:52,17247,792.0,25751.0,1122.0,17906.0,1014.0,14972.0,133915,2024-10-24 08:15:48,4.46.0,100.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",231242.0,231242.0,2898.0,https://pypi.org/project/transformers,45099705.0,45099705.0,52,True,1,,,,
1,fastapi,tiangolo/fastapi,fastapi,[],microservice-frameworks,https://github.com/fastapi/fastapi,https://github.com/fastapi/fastapi,MIT,2018-12-08 08:21:47,2024-10-24 12:39:01,2024-10-24 12:39:00,4873,466.0,6456.0,682.0,3696.0,47.0,3397.0,76831,2024-10-22 14:28:15,0.115.3,100.0,"FastAPI framework, high performance, easy to learn, fast to code, ready for production.",470322.0,470322.0,707.0,https://pypi.org/project/fastapi,71399156.0,71399156.0,48,True,1,fastapi/fastapi,,,
2,ray,ray-project/ray,ray,[],distributed-application,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30,2024-10-24 18:05:37,2024-10-24 18:02:32,22841,595.0,5598.0,473.0,29289.0,3608.0,15059.0,33560,2024-10-23 21:57:05,ray-2.38.0,97.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,18523.0,18523.0,1085.0,https://pypi.org/project/ray,6174350.0,6174352.0,45,True,1,,240.0,,
3,SpaCy,explosion/spaCy,spacy,[],nlp,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40,2024-10-23 10:43:24,2024-10-23 10:42:54,16212,78.0,4313.0,561.0,4026.0,132.0,5521.0,29935,2024-10-01 18:19:33,release-v3.8.2,100.0,Industrial-strength Natural Language Processing (NLP) in Python.,102514.0,102514.0,762.0,https://pypi.org/project/spacy,14211845.0,14211848.0,44,True,1,,298.0,,
4,prefect,PrefectHQ/prefect,prefect,[],data-workflows,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26,2024-10-24 17:56:17,2024-10-24 17:03:40,17869,515.0,1567.0,161.0,9565.0,852.0,4764.0,16230,2024-10-18 01:16:41,2.20.10,100.0,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,5807.0,5807.0,285.0,https://pypi.org/project/prefect,6894820.0,6894820.0,44,True,1,,,,
5,jina,jina-ai/jina,jina,[],ai-service-deployment-framework,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44,2024-10-01 23:03:49,2024-10-01 23:03:47,8605,45.0,2199.0,212.0,4214.0,5.0,1937.0,21078,2024-10-01 09:31:10,3.27.17,100.0,Build multimodal AI applications with cloud-native stack.,1774.0,1774.0,177.0,https://pypi.org/project/jina,159047.0,159047.0,40,True,1,,,,
6,sqlmodel,tiangolo/sqlmodel,sqlmodel,[],databases-sql,https://github.com/fastapi/sqlmodel,https://github.com/fastapi/sqlmodel,MIT,2021-08-24 14:26:53,2024-10-22 22:18:31,2024-10-15 10:39:42,570,104.0,599.0,145.0,503.0,175.0,160.0,14393,2024-08-31 09:42:46,0.0.22,21.0,"SQL databases in Python, designed for simplicity, compatibility, and robustness.",16476.0,16476.0,80.0,https://pypi.org/project/sqlmodel,2169930.0,2169930.0,36,True,1,fastapi/sqlmodel,,,
7,litestar,litestar-org/litestar,litestar,[],microservice-frameworks,https://github.com/litestar-org/litestar,https://github.com/litestar-org/litestar,MIT,2021-12-06 19:43:06,2024-10-24 14:58:22,2024-10-24 14:55:56,2943,96.0,370.0,40.0,2455.0,176.0,961.0,5477,2024-09-21 14:40:07,2.12.1,100.0,"Production-ready, Light, Flexible and Extensible ASGI API framework | Effortlessly Build Performant APIs.",1024.0,1024.0,215.0,https://pypi.org/project/litestar,362880.0,362880.0,35,True,3,,,,
8,datamodel-code-generator,koxudaxi/datamodel-code-generator,datamodel-code-generator,[],code-generator,https://github.com/koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,MIT,2019-05-29 08:01:32,2024-10-24 01:57:06,2024-10-18 14:18:10,1165,32.0,296.0,24.0,1519.0,202.0,365.0,2714,2024-10-17 16:29:54,0.26.2,100.0,"Pydantic model and dataclasses.dataclass generator for easy conversion of JSON, OpenAPI, JSON Schema, and YAML data..",1457.0,1457.0,135.0,https://pypi.org/project/datamodel-code-generator,4909370.0,4909370.0,35,True,1,,,,
9,pandera,unionai-oss/pandera,pandera,[],data-testing,https://github.com/unionai-oss/pandera,https://github.com/unionai-oss/pandera,MIT,2018-11-01 02:18:34,2024-10-15 02:46:42,2024-09-30 20:04:54,776,18.0,307.0,20.0,789.0,360.0,517.0,3341,2024-09-03 15:32:10,0.20.4,95.0,"A light-weight, flexible, and expressive statistical data testing library.",1975.0,1975.0,147.0,https://pypi.org/project/pandera,5864858.0,5864858.0,33,True,1,,,https://pandera.readthedocs.io/en/stable/pydantic_integration.html,
10,ZenML,zenml-io/zenml,zenml,[],ai-service-deployment-framework,https://github.com/zenml-io/zenml,https://github.com/zenml-io/zenml,Apache-2.0,2020-11-19 09:25:46,2024-10-24 16:42:38,2024-09-30 08:43:46,6770,125.0,430.0,41.0,2823.0,30.0,269.0,4019,2024-09-30 16:22:09,0.67.0,100.0,ZenML : The bridge between ML and Ops. https://zenml.io.,791.0,791.0,98.0,https://pypi.org/project/zenml,42476.0,42476.0,32,True,3,,5.0,,
11,beanie,roman-right/beanie,beanie,[],databases-document,https://github.com/BeanieODM/beanie,https://github.com/BeanieODM/beanie,Apache-2.0,2021-02-23 20:11:23,2024-10-15 15:41:01,2024-10-15 15:41:01,534,44.0,213.0,18.0,391.0,83.0,351.0,2042,2024-10-07 17:49:00,1.27.0,100.0,Asynchronous Python ODM for MongoDB.,2925.0,2925.0,96.0,https://pypi.org/project/beanie,266723.0,266723.0,32,True,1,BeanieODM/beanie,,,
12,DeepPavlov,deeppavlov/DeepPavlov,deeppavlov,[],nlp,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29,2024-10-22 21:21:38,2024-08-12 17:08:04,2710,2.0,1138.0,210.0,1051.0,25.0,615.0,6705,2024-08-12 17:09:11,1.7.0,64.0,An open source library for deep learning end-to-end dialog systems and chatbots.,414.0,414.0,77.0,https://pypi.org/project/deeppavlov,14738.0,14738.0,31,True,3,,,,
13,aws-lambda-powertools-python,awslabs/aws-lambda-powertools-python,aws-lambda-powertools-python,[],aws,https://github.com/aws-powertools/powertools-lambda-python,https://github.com/aws-powertools/powertools-lambda-python,MIT-0,2019-11-15 12:26:12,2024-10-24 13:54:16,2024-10-24 13:53:13,3868,248.0,389.0,52.0,4077.0,84.0,1076.0,2853,2024-10-22 13:06:19,3.2.0,100.0,A developer toolkit to implement Serverless best practices and increase developer velocity.,2774.0,2774.0,156.0,https://pypi.org/project/aws-lambda-powertools-python,,3.0,30,False,1,aws-powertools/powertools-lambda-python,128.0,,
14,django-ninja,vitalik/django-ninja,django-ninja,[],http-server-integrations,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2024-10-15 09:01:09,2024-10-15 09:01:08,1213,38.0,422.0,74.0,354.0,303.0,532.0,7165,2024-08-15 09:14:29,1.3.0,43.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,145.0,https://pypi.org/project/django-ninja,494276.0,494276.0,29,True,1,,,,
15,ormar,collerek/ormar,ormar,[],databases-sql,https://github.com/collerek/ormar,https://github.com/collerek/ormar,MIT,2020-08-02 06:34:03,2024-10-02 02:15:07,2024-10-02 02:15:00,1399,3.0,87.0,17.0,879.0,74.0,192.0,1667,2024-06-09 16:24:10,0.20.1,79.0,python async orm with fastapi in mind and pydantic validation.,1047.0,1047.0,38.0,https://pypi.org/project/ormar,57216.0,57216.0,29,True,2,,,,-1.0
16,piccolo,piccolo-orm/piccolo,piccolo,[],databases-sql,https://github.com/piccolo-orm/piccolo,https://github.com/piccolo-orm/piccolo,MIT,2018-10-27 20:53:26,2024-10-23 22:07:42,2024-10-23 22:07:42,1851,41.0,89.0,15.0,514.0,116.0,307.0,1431,2024-10-23 21:43:51,1.22.0,100.0,"A fast, user friendly ORM and query builder which supports asyncio.",404.0,404.0,45.0,https://pypi.org/project/piccolo,49684.0,49684.0,29,True,2,,,,
17,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-server-integrations,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2024-10-21 16:34:12,2024-10-21 15:38:49,3284,81.0,525.0,39.0,2542.0,396.0,625.0,3985,2024-10-21 15:39:07,0.247.0,100.0,A GraphQL library for Python that leverages type annotations.,,,264.0,https://pypi.org/project/strawberry,843.0,888.0,27,True,1,,591.0,https://strawberry.rocks/docs/integrations/pydantic#pydantic-support,
18,OneFuzz,microsoft/onefuzz,onefuzz,[],security-testing,https://github.com/microsoft/onefuzz,https://github.com/microsoft/onefuzz,MIT,2020-07-27 22:23:30,2023-11-01 09:22:49,2023-10-31 21:19:19,2167,,198.0,90.0,2666.0,192.0,736.0,2826,2023-10-09 20:37:49,8.9.0,100.0,A self-hosted Fuzzing-As-A-Service platform.,15.0,15.0,33.0,https://pypi.org/project/onefuzz,6481.0,6891.0,25,True,1,,19710.0,,
19,Robusta,robusta-dev/robusta,robusta,[],monitoring,https://github.com/robusta-dev/robusta,https://github.com/robusta-dev/robusta,MIT,2021-06-20 08:45:36,2024-10-24 09:12:27,2024-10-24 09:12:25,1885,70.0,250.0,31.0,1311.0,116.0,179.0,2588,2024-10-10 07:10:48,0.18.0,100.0,"Kubernetes observability and automation, with an awesome Prometheus integration.",,,87.0,https://pypi.org/project/robusta,123.0,123.0,25,True,1,,,,
20,elementary,elementary-data/elementary,elementary,[],data-observability,https://github.com/elementary-data/elementary,https://github.com/elementary-data/elementary,Apache-2.0,2021-08-30 08:45:23,2024-10-23 12:24:01,2024-10-23 09:54:11,5043,96.0,163.0,10.0,1143.0,193.0,385.0,1909,2024-08-07 09:53:18,0.16.1,91.0,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes...,84.0,84.0,78.0,https://pypi.org/project/elementary,1.0,1.0,25,True,1,,,,
21,pydantic-xml,dapper91/pydantic-xml,pydantic-xml,[],xml,https://github.com/dapper91/pydantic-xml,https://github.com/dapper91/pydantic-xml,Unlicense,2022-04-26 19:28:39,2024-10-03 17:38:12,2024-10-03 17:37:33,305,18.0,16.0,5.0,126.0,13.0,81.0,160,2024-10-03 17:39:06,2.13.1,41.0,python xml for humans.,143.0,143.0,9.0,https://pypi.org/project/pydantic-xml,282392.0,282392.0,24,True,1,,,,
22,odmantic,art049/odmantic,odmantic,[],databases-document,https://github.com/art049/odmantic,https://github.com/art049/odmantic,ISC,2020-05-01 13:59:45,2024-07-10 15:21:14,2024-04-26 23:27:23,559,,90.0,19.0,307.0,78.0,89.0,1065,2024-04-26 23:28:12,1.0.2,21.0,Sync and Async ODM (Object Document Mapper) for MongoDB based on python type hints.,3387.0,3387.0,19.0,https://pypi.org/project/odmantic,28820.0,28820.0,23,True,3,,,,
23,geojson-pydantic,developmentseed/geojson-pydantic,geojson-pydantic,[],geojson,https://github.com/developmentseed/geojson-pydantic,https://github.com/developmentseed/geojson-pydantic,MIT,2020-05-21 22:29:07,2024-10-22 15:14:32,2024-10-22 15:14:21,305,8.0,35.0,14.0,83.0,5.0,64.0,229,,,,Pydantic data models for the GeoJSON spec.,434.0,434.0,23.0,https://pypi.org/project/geojson-pydantic,248418.0,248418.0,23,True,1,,,,
24,Opyrator,ml-tooling/opyrator,opyrator,[],ai-service-deployment-framework,https://github.com/ml-tooling/opyrator,https://github.com/ml-tooling/opyrator,MIT,2021-04-06 08:09:06,2024-10-23 02:35:25,2021-05-06 12:10:38,127,,156.0,48.0,71.0,1.0,30.0,3078,2021-05-01 13:59:02,0.0.11,2.0,"Turns your machine learning code into microservices with web API, interactive GUI, and more.",54.0,54.0,4.0,https://pypi.org/project/opyrator,789.0,789.0,22,True,3,,,,
25,flask-pydantic,bauerji/flask-pydantic,flask-pydantic,[],http-server-integrations,https://github.com/bauerji/flask-pydantic,https://github.com/bauerji/flask-pydantic,MIT,2020-01-06 17:45:59,2024-07-13 18:22:20,2024-07-13 09:24:11,164,,55.0,7.0,48.0,22.0,26.0,360,,,,flask extension for integration with the awesome pydantic package.,681.0,681.0,15.0,https://pypi.org/project/flask-pydantic,179600.0,179600.0,21,True,2,,,,
26,djantic,jordaneremieff/djantic,djantic,[],http-server-integrations,https://github.com/jordaneremieff/djantic,https://github.com/jordaneremieff/djantic,MIT,2020-08-02 12:06:11,2024-03-15 10:03:00,2023-02-13 12:15:42,120,,34.0,7.0,38.0,13.0,28.0,456,2022-04-14 10:14:45,0.7.0,15.0,Pydantic model support for Django.,77.0,77.0,4.0,https://pypi.org/project/djantic,12738.0,12738.0,20,True,2,,,,
27,redisOM,redis/redis-om-python,redis-om-python,[],databases-key-value,https://github.com/redis/redis-om-python,https://github.com/redis/redis-om-python,MIT,2021-08-31 01:10:13,2024-10-22 18:22:25,2024-08-06 20:02:47,574,9.0,108.0,29.0,416.0,104.0,139.0,1118,2024-08-06 20:04:44,0.3.2,21.0,"Object mapping, and more, for Redis and Python.",,,29.0,https://pypi.org/project/redis-om-python,,,19,True,1,,,,
28,pyngo,yezz123/pyngo,pyngo,[],http-server-integrations,https://github.com/yezz123/pyngo,https://github.com/yezz123/pyngo,MIT,2021-11-25 00:14:05,2024-10-21 23:57:24,2024-09-13 11:37:21,217,15.0,7.0,3.0,178.0,1.0,3.0,83,2024-09-13 11:38:28,2.2.1,13.0,Pydantic model support for Django & Django-Rest-Framework.,17.0,17.0,8.0,https://pypi.org/project/pyngo,6048.0,6048.0,19,True,3,,,,
29,pydantic-factories,starlite-api/pydantic-factories,pydantic-factories,[],data-generation,https://github.com/litestar-org/pydantic-factories,https://github.com/litestar-org/pydantic-factories,MIT,2023-03-25 12:51:12,2023-04-03 15:10:03,2023-04-03 15:09:07,309,,,3.0,,,,13,2023-04-03 15:10:03,1.17.3,1.0,Simple and powerful mock data generation using pydantic or dataclasses.,508.0,508.0,28.0,https://pypi.org/project/pydantic-factories,297571.0,297571.0,18,True,1,litestar-org/pydantic-factories,,,
30,pydbantic,codemation/pydbantic,pydbantic,[],databases-sql,https://github.com/codemation/pydbantic,https://github.com/codemation/pydbantic,Apache-2.0,2021-09-01 18:02:26,2023-10-03 08:00:16,2023-10-03 07:59:56,165,,15.0,5.0,42.0,6.0,19.0,230,2023-10-03 08:00:16,0.0.47,36.0,"A single model for shaping, creating, accessing, storing data within a Database.",22.0,22.0,9.0,https://pypi.org/project/pydbantic,2453.0,2453.0,17,True,3,,,,
31,graphene-pydantic,graphql-python/graphene-pydantic,graphene-pydantic,[],graphql-server-integrations,https://github.com/graphql-python/graphene-pydantic,https://github.com/graphql-python/graphene-pydantic,,2019-06-20 00:49:40,2024-06-11 17:42:15,2024-02-03 15:46:48,270,,42.0,8.0,62.0,11.0,33.0,227,2022-01-25 16:40:44,0.2.0,5.0,Integrate GraphQL with your Pydantic models.,,,23.0,https://pypi.org/project/graphene-pydantic,24142.0,24142.0,17,True,3,,,,
32,aiohttp-pydantic,Maillol/aiohttp-pydantic,aiohttp-pydantic,[],http-server-integrations,https://github.com/Maillol/aiohttp-pydantic,https://github.com/Maillol/aiohttp-pydantic,MIT,2020-10-04 10:32:00,2024-10-24 17:41:47,2024-10-24 17:36:58,135,26.0,21.0,3.0,43.0,3.0,27.0,65,,,,Aiohttp View that validates request body and query sting regarding the annotations declared in the View method.,,,15.0,https://pypi.org/project/aiohttp-pydantic,15396.0,15396.0,16,True,3,,,,
33,patito,kolonialno/patito,patito,[],data-structures,https://github.com/kolonialno/patito,https://github.com/kolonialno/patito,MIT,2022-04-21 08:54:31,2023-07-29 13:51:20,2023-07-29 13:51:20,95,,4.0,34.0,38.0,25.0,4.0,197,2022-12-02 17:38:25,0.4.4,20.0,A data modelling layer built on top of polars and pydantic.,,,2.0,https://pypi.org/project/patito,12868.0,12868.0,15,True,1,,,,
34,pythogen,artsmolin/pythogen,pythogen,[],http-client-generators,https://github.com/artsmolin/pythogen,https://github.com/artsmolin/pythogen,MIT,2022-05-23 07:49:27,2024-07-29 15:48:03,2024-07-29 15:44:38,415,1.0,6.0,4.0,56.0,6.0,24.0,66,2024-07-29 15:48:03,0.2.41,90.0,Awesome python HTTP-clients from OpenAPI.,2.0,2.0,13.0,https://pypi.org/project/pythogen,5569.0,5569.0,15,True,1,,,,
35,pydantic-aioredis,andrewthetechie/pydantic-aioredis,pydantic-aioredis,[],databases-key-value,https://github.com/andrewthetechie/pydantic-aioredis,https://github.com/andrewthetechie/pydantic-aioredis,,2021-08-06 19:12:00,2024-10-22 19:32:32,2024-05-29 19:45:27,780,,4.0,2.0,945.0,2.0,25.0,53,2024-05-08 00:26:43,1.4.0,29.0,A Declarative ORM for Redis using Pydantic Models and aioredis.,8.0,8.0,6.0,https://pypi.org/project/pydantic-aioredis,1834.0,1834.0,15,True,3,,,,
36,pydantic-spark,godatadriven/pydantic-spark,pydantic-spark,[],data-structures,https://github.com/godatadriven/pydantic-spark,https://github.com/godatadriven/pydantic-spark,MIT,2022-02-03 10:43:26,2024-03-04 14:43:25,2023-11-24 15:12:46,33,,8.0,4.0,41.0,1.0,2.0,25,2023-11-24 15:13:57,1.0.1,3.0,,10.0,10.0,6.0,https://pypi.org/project/pydantic-spark,34151.0,34151.0,14,False,3,,,,
37,mongox,aminalaee/mongox,mongox,[],databases-document,https://github.com/aminalaee/mongox,https://github.com/aminalaee/mongox,MIT,2021-11-12 09:49:07,2023-03-01 09:00:21,2022-11-09 08:50:55,61,,7.0,6.0,84.0,4.0,13.0,122,2022-11-09 08:51:02,0.1.2,6.0,Familiar async Python MongoDB ODM.,7.0,7.0,8.0,https://pypi.org/project/mongox,468.0,468.0,13,True,3,,,,
38,pydantic-numpy,cheind/pydantic-numpy,pydantic-numpy,[],data-structures,https://github.com/cheind/pydantic-numpy,https://github.com/cheind/pydantic-numpy,MIT,2022-03-25 04:15:58,2022-12-09 11:37:55,2022-12-09 11:37:52,55,,3.0,3.0,7.0,3.0,3.0,57,,,,Seamlessly integrate numpy arrays into pydantic models.,,,5.0,https://pypi.org/project/pydantic-numpy,58356.0,58356.0,12,True,3,,,,
39,xsdata-pydantic,tefra/xsdata-pydantic,xsdata-pydantic,[],xml,https://github.com/tefra/xsdata-pydantic,https://github.com/tefra/xsdata-pydantic,MIT,2021-11-04 11:15:58,2024-10-21 17:26:37,2024-10-21 17:26:28,32,1.0,8.0,3.0,16.0,3.0,12.0,51,2024-05-08 17:44:08,24.5,2.0,Naive XML & JSON Bindings for python pydantic classes!.,,,2.0,https://pypi.org/project/xsdata-pydantic,5749.0,5749.0,12,True,3,,,,
40,nebula-carina,nebula-contrib/nebula-carina,nebula-carina,[],databases-graph,https://github.com/nebula-contrib/nebula-carina,https://github.com/nebula-contrib/nebula-carina,MIT,2022-06-03 14:45:40,2024-10-17 00:27:22,2024-10-17 00:27:22,144,10.0,9.0,7.0,13.0,8.0,9.0,40,2023-02-20 14:39:56,release-0.3.1,6.0,A pydantic based python ORM framework for graph database NebulaGraph 3.,2.0,2.0,7.0,https://pypi.org/project/nebula-carina,146.0,146.0,12,True,1,,,,
41,arangodantic,ioxiocom/arangodantic,arangodantic,[],databases-graph,https://github.com/ioxiocom/arangodantic,https://github.com/ioxiocom/arangodantic,BSD-3-Clause,2020-09-29 08:45:54,2024-04-12 08:02:06,2022-08-19 13:21:50,22,,7.0,7.0,18.0,2.0,,13,2022-08-05 10:56:33,0.3.1,3.0,,3.0,3.0,3.0,https://pypi.org/project/arangodantic,2361.0,2361.0,12,False,1,,,,
42,pydantic-geojson,gb-libs/pydantic-geojson,pydantic-geojson,[],geojson,https://github.com/gb-libs/pydantic-geojson,https://github.com/gb-libs/pydantic-geojson,MIT,2022-01-18 09:59:26,2024-05-13 07:30:55,2024-01-22 06:54:27,59,,6.0,1.0,20.0,3.0,7.0,27,,,,Pydantic validation for GeoJson.,,,6.0,https://pypi.org/project/pydantic-geojson,27652.0,27652.0,11,True,3,,,,
43,sanic-pydantic,nf1s/sanic-pydantic,sanic-pydantic,[],http-server-integrations,https://github.com/nf1s/sanic-pydantic,https://github.com/nf1s/sanic-pydantic,MIT,2020-04-03 08:24:55,2023-02-11 01:45:39,2022-05-12 19:27:29,87,,3.0,,21.0,,5.0,7,2021-10-14 08:22:48,1.2.1,3.0,A library for parsing and validating http requests for sanic web-framework using pydantic library.,,,3.0,https://pypi.org/project/sanic-pydantic,551.0,551.0,11,True,3,,,,
44,jsonapi-pydantic,impocode/jsonapi-pydantic,jsonapi-pydantic,[],jsonapi,https://github.com/impocode/jsonapi-pydantic,https://github.com/impocode/jsonapi-pydantic,MIT,2022-07-22 14:48:18,2024-06-23 12:08:37,2024-06-23 12:08:30,32,,1.0,2.0,2.0,,2.0,6,2024-06-14 07:55:24,0.2.5,11.0,jsonapi-pydantic provides a suite of Pydantic models matching the JSON:API specification.,3.0,3.0,,https://pypi.org/project/jsonapi-pydantic,2493.0,2494.0,11,True,1,,51.0,,
45,pydantic_schemaorg,lexiq-legal/pydantic_schemaorg,pydantic_schemaorg,[],schemas,https://github.com/lexiq-legal/pydantic_schemaorg,https://github.com/lexiq-legal/pydantic_schemaorg,MIT,2021-11-29 14:51:59,2022-12-12 20:58:08,2022-02-18 19:47:31,62,,10.0,1.0,3.0,7.0,4.0,58,2022-02-18 19:48:32,1.0.6a2,14.0,Schema.org classes in pydantic.,,,,https://pypi.org/project/pydantic_schemaorg,1056.0,1056.0,10,True,1,,,,
46,neontology,ontolocy/neontology,neontology,[],databases-graph,https://github.com/ontolocy/neontology,https://github.com/ontolocy/neontology,MIT,2022-08-09 14:03:49,2024-10-04 06:23:03,2024-04-28 10:10:18,57,,7.0,3.0,29.0,1.0,1.0,36,,,,"Easily ingest data into a Neo4j graph database with Python, pandas and Pydantic.",,,2.0,https://pypi.org/project/neontology,2412.0,2412.0,10,True,3,,,,
47,pydantic-ssm-settings,developmentseed/pydantic-ssm-settings,pydantic-ssm-settings,[],aws,https://github.com/developmentseed/pydantic-ssm-settings,https://github.com/developmentseed/pydantic-ssm-settings,MIT,2021-09-07 20:49:37,2023-12-29 12:15:20,2022-09-26 16:40:54,42,,5.0,3.0,13.0,,2.0,19,2022-09-26 16:39:42,0.2.4,5.0,Replace Pydantics builtin Secret Support with a configuration provider that loads parameters from AWS Systems Manager..,2.0,2.0,4.0,https://pypi.org/project/pydantic-ssm-settings,789.0,790.0,10,True,2,,46.0,,
48,pydantic-kms-secrets,nplutt/pydantic-kms-secrets,pydantic-kms-secrets,[],aws,https://github.com/nplutt/pydantic-kms-secrets,https://github.com/nplutt/pydantic-kms-secrets,MIT,2020-07-18 03:41:21,2020-08-16 17:36:45,2020-08-16 17:34:46,15,,1.0,1.0,2.0,,,3,2020-08-16 17:36:45,0.3.0,4.0,Utility to decrypt and encrypt secrets using AWS KMS keys that also integrates with pydantic models which allows for..,,,,https://pypi.org/project/pydantic-kms-secrets,1514.0,1514.0,9,True,2,,,,
